Drink Type,Cup Name,Hydration Value(ml),Water Value(ml),Date,Time,Daily Goal Reached in %,Day Total(ml),Daily Goal Amount(ml)
Water,Water,"250","250",16.04.2025,15:51,93%,"2.250","2.425"
Water,Water,"500","500",16.04.2025,15:51,82%,"2.000","2.425"
Water,Water,"500","500",16.04.2025,15:51,62%,"1.500","2.425"
Water,Water,"500","500",16.04.2025,15:51,41%,"1.000","2.425"
Water,Water,"500","500",16.04.2025,15:51,21%,"500","2.425"
Water,Water,"250","250",15.04.2025,16:58,62%,"1.500","2.425"
Water,Water,"250","250",15.04.2025,16:58,52%,"1.250","2.425"
Water,Water,"500","500",15.04.2025,16:58,41%,"1.000","2.425"
Water,Water,"500","500",15.04.2025,16:58,21%,"500","2.425"
Water,Water,"500","500",13.04.2025,17:00,41%,"1.000","2.425"
Water,Water,"500","500",13.04.2025,17:00,21%,"500","2.425"
Water,Water,"500","500",12.04.2025,22:51,80%,"1.950","2.425"
Water,Water,"500","500",12.04.2025,22:51,60%,"1.450","2.425"
Water,Bardak,"100","100",12.04.2025,19:51,39%,"950","2.425"
Water,Bardak,"100","100",12.04.2025,19:51,35%,"850","2.425"
Water,Water,"250","250",12.04.2025,19:51,31%,"750","2.425"
Water,Water,"500","500",12.04.2025,19:51,21%,"500","2.425"
Water,Water,"250","250",11.04.2025,15:42,62%,"1.500","2.425"
Water,Water,"500","500",11.04.2025,15:42,52%,"1.250","2.425"
Water,Water,"250","250",11.04.2025,01:12,31%,"750","2.425"
Water,Water,"500","500",11.04.2025,01:12,21%,"500","2.425"
Tea,Tea,"180","180",10.04.2025,11:40,28%,"680","2.425"
Water,Water,"500","500",10.04.2025,11:40,21%,"500","2.425"
Smoothie,Smoothie,"420","420",9.04.2025,17:28,59%,"1.420","2.425"
Water,Water,"500","500",9.04.2025,17:28,41%,"1.000","2.425"
Water,Water,"500","500",9.04.2025,01:43,21%,"500","2.425"
Water,Water,"500","500",8.04.2025,01:01,21%,"500","2.425"
Water,Water,"500","500",7.04.2025,21:56,31%,"750","2.425"
Water,Water,"250","250",7.04.2025,10:11,10%,"250","2.425"
